# Bedrijf|Plaats|URL — npm run scan:import -- data/klanten-leads-import.txt
A. Buitelaar Zonwering|'s-Gravenhage|https://www.buitelaarzonwering.nl
ALX Elektra|'s-Gravenhage|https://www.alx.nl
Atelier-AW|'s-Gravenhage|https://www.atelieraw.nl
Bonarius Zuid-Holland|'s-Gravenhage|https://www.bonarius.com
Dreumel|'s-Gravenhage|https://www.dreumel.nl
Firma Fred van Rijn|'s-Gravenhage|https://firmavanrijn.nl
HBC Wooncomfort|'s-Gravenhage|https://hbcwooncomfort.nl
Koek & Reinders|'s-Gravenhage|https://koekenreinders.nl
L-Groep totaalonderhoud|'s-Gravenhage|https://www.l-groep.nl
Oranjegordijn|'s-Gravenhage|https://oranjegordijn.nl
SA Elektro Experts|'s-Gravenhage|https://saelektroexperts.nl
Suntec zonwering|'s-Gravenhage|https://www.suntec-zonwering.nl
T.B. van Wichen|'s-Gravenhage|https://vanwichenbv.nl
Kreeft & van Wissen|Aalsmeer|https://www.kreeft-wissen.nl
Achterberg Schilders & Onderhoud|Amersfoort|https://www.achterbergschilders.nl
Amer Houttechniek|Amersfoort|https://www.amer-hout.nl
Bectro|Amersfoort|https://www.bectro.nl
Delektro|Amersfoort|https://www.delektro.nl
Designbekleding|Amersfoort|https://designbekleding.nl
Elitair Klimaattechniek|Amersfoort|https://elitairklimaat.nl
Goossensen|Amersfoort|https://loodgietersbedrijfgoossensen.nl
Houtindustrie Amersfoort|Amersfoort|https://houtindustrie-amersfoort.nl
i-Kozijn|Amersfoort|https://www.i-kozijn.nl
MIRvA|Amersfoort|https://mirva.nl
Pruis Schilderwerken|Amersfoort|https://pruisschilderwerken.nl
Timmerbedrijf Simon Frank & Zn.|Amersfoort|http://timmerbedrijf-frank.nl
Van Olst Schilders|Amersfoort|https://vanolstschilders.nl
Wonnink Zonwering|Amersfoort|https://www.wonnink.nl
Amstelland Kozijnen|Amstelveen|https://www.amstellandkozijnen.nl
Lambertus van den Broek|Amstelveen|https://www.lambertusvandenbroek.nl
Loodgietersbedrijf J.W.F. Born|Amstelveen|https://www.jwfborn.nl
Schipper Kozijnen|Amstelveen|https://www.schipperkozijnen.nl/showrooms/amstelveen
Ambiance Heko-Becewe|Amsterdam|https://www.ambiance-zonwering.nl/heko-becewe
Blossom Paardencoaching|Amsterdam|https://www.blossompaardencoaching.nl
Bruens Electrotechniek|Amsterdam|https://www.bruens-electrotechniek.nl
Evimvloeren|Amsterdam|https://www.evimvloeren.nl
Gordijnenhuis Madina|Amsterdam|https://www.facebook.com/gordijnenhuis.madina
Het Interieur|Amsterdam|https://hetinterieur.nl
Ideaal Gordijnen Specialisten|Amsterdam|https://ideaalgordijin.com
Kilim Tapijt & Vinyl|Amsterdam|https://www.kilim-tapijt-vinyl.nl
Klimaatservice Noordholland|Amsterdam|https://klimaatservicenoordholland.nl
Knook Deuren en Kozijnen|Amsterdam|https://www.knookmetaal.nl/producten/knook-deuren-en-kozijnen
Louwen Houtbewerking|Amsterdam|https://louwenhoutbewerking.nl
Protectsun|Amsterdam|https://www.protectsun.nl
Voordeelgordijnen|Amsterdam|https://www.voordeelgordijnen.nl
Vivante Bekenkamp|Baarn|https://www.vivante-bekenkamp.nl
AAD Elektrotechniek & Onderhoudsbedrijf|Barendrecht|http://www.aadelektrotechniek.nl
Onnink|Barendrecht|https://onnink-bv.nl
Brandsen Installatietechniek|Barneveld|https://brandsen-installatietechniek.nl
Enery Shift|Barneveld|https://www.energyshift.nl
Klomp Elektrotechniek|Barneveld|https://klompelektrotechniek.nl
Zon en Scherm Berkel en Rodenrijs|Berkel en Rodenrijs|https://www.zonenscherm.nl/site/zon-en-scherm-berkel-en-rodenrijs
Ehi Stolle|Bunschoten-Spakenburg|https://www.ehi-stolle.nl
Kokall|Bunschoten-Spakenburg|https://www.kokall.nl
Van den Hoogen engineering|Bunschoten-Spakenburg|https://www.vandenhoogen.nl
Ambiance zonwering|De Bilt|https://www.ambiance-zonwering.nl/van-der-wal-de-bilt
Kroon interieurbouw|De Meern|https://www.kroon-interieurbouw.nl
Algemene Houthandel & Timmerfabriek van der Meer|Delft|http://www.meerhouthandel.nl
Eradus Zonwering|Delft|https://www.eraduszonwering.nl
Groenewegen|Delft|https://www.groenewegendelft.nl
Mastr Interieurspecialisten|Delft|https://mastrinterieurspecialisten.nl
De Lamellengigant|Den Haag|https://www.delamellengigant.nl
Smit Wonen in Sfeer|Den Haag|https://www.smit-interieur.nl
Woningtextielhuis|Den Haag|https://www.woningtextielhuis.nl
Installatiebedrijf Keyzer|Den Hoorn|https://www.keyzerbv.nl
Joost Wonen|Den Hoorn|https://joostwonen.nl
Van Beek Schilders|Den Hoorn|http://vanbeek-schilders.nl
Van Leeuwen Elektrotechniek|Den Hoorn|https://www.vanleeuwenelektrotechniek.nl
Drechtse Loodgieter|Dordrecht|https://drechtseloodgieter.nl
Textilia|Dordrecht|https://www.textilia-dordrecht.nl
Kiwatt|Ede|https://www.kiwatt.nl
Schipper Kozijnen|Gouda|https://www.schipperkozijnen.nl/showrooms/gouda
Burggraeve Woonstyling|Haarlem|https://www.bwstyling.nl
Fa. van Taarling|Haarlem|http://www.vantaarling.nl
H.J. Slierings|Haarlem|https://www.hjslierings.nl
Marcel Vittali|Haarlem|https://www.marcelvittali.nl
Mesut Timmerfabriek|Haarlem|https://www.mesuttimmerfabriek.nl
Rinus van Stein|Haarlem|http://www.rinusvanstein.nl
Vinkesteyn|Haarlem|https://www.vinkesteyn.nl
Woonbasis|Haarlem|https://www.woonbasis.nl
Efzon Doseer- en Installatietechniek|Heinenoord|https://www.efzon.com
Quadraat Bouw|Hilversum|https://www.quadraatbouw.nl
Randstad Zonweringen|Hoofddorp|https://www.randstadzonweringen.nl
Blygold|Houten|https://www.blygold.nl
BOS Groep Techniek|Houten|https://www.bosgroep.com
BVR Wooncomfort|Houten|https://www.bvrzonwering.nl
Mks schilderwerken|Houten|https://mksschilderwerken.nl
STB|Houten|https://stb.eu
Van Baaren Installatietechniek|Houten|https://evanbaareninstallatietechniek.nl
Wooncentrum Ubo Kok|IJmuiden|https://wooncentrumubokok.nl
Terberg Totaal Installaties|IJsselstein|https://terberg.eu
Ventana Zonwering|IJsselstein|https://ventanazonwering.nl
Schipper Kozijnen|Katwijk|https://www.schipperkozijnen.nl/showrooms/Katwijk
Van Rennes Elektro- & Installatietechniek|Klaaswaal|https://www.vanrennes.nl
De Schrijn|Langbroek|https://deschrijn.nl
Bekenkamp|Laren|https://woonspecialist.nl/winkels/bekenkamp-laren
Decor Gordijn|Leiden|https://www.decorgordijn.nl
Glas- en Schilderwerken van Muiden|Leiden|https://vanmuiden.nl
Fontein elektrotechniek & deuraandrijvingen|Leidschendam|https://www.fonteinelektrotechniek.nl
J. Kuijper schildersbedrijf en onderhoudsbedrijf|Leidschendam|https://www.jkuijper.nl
Lameko zonwering|Leidschendam|https://www.lameko.nl
Timmerfabriek Verhagen|Leidschendam|https://www.timmerfabriekverhagen.nl
Vogelaar timmerwerk schilderen behangen|Leidschendam|https://vogelaarschilder.nl
RvW Schilderwerken|Leimuiden|https://rvwschilderwerken.nl
Woordes Bouw- & Timmerwerken|Leusden|https://www.woordesbouw.nl
Zandschulp Zonwering|Leusden|https://zandschulpzonwering.nl/showrooms/zonwering-leusden
ZENS Maatwerk|Loosdrecht|https://zensmaatwerk.nl
Bos Elektrotechniek|Maasdijk|https://www.boselektrotechniek.nl
van der Meer Elektrotechniek BV|Maasland|https://www.ejvandermeer.nl
Voorberg zonwering|Maassluis|https://www.voorbergzonwering.nl
Rioolservice P. van Adrichem|Moordrecht|https://rioolservice-pvanadrichem.nl
Verzijl De Woonprofessionals|Nieuw-Lekkerland|https://verzijlbv.nl
Decorette|Nieuw-Vennep|https://decorette.nl/winkels/nieuw-vennep
Ozbay Gordijnen|Nieuw-Vennep|http://www.ozbaygordijnen.nl
Rojas Zonwering & Interieur|Nieuw-Vennep|https://www.rojas-colorsathome.nl
Maat Dakkapellen|Nieuwegein|https://www.maatdakkapellen.nl
GroepenkastCompleet|Nieuwerkerk aan den IJssel|https://www.groepenkastcompleet.nl
ChargeCars|Nijkerk|https://chargecars.nl
C&M Schilders|Noordwijk|https://cm-schilders.com
Joost & Bart Schilderwerken|Noordwijk|https://www.joostenbartschilderwerken.nl
Schreuder Glas- en Schilderwerken|Noordwijk|https://www.schreuderschilderwerken.nl
Van der Nat Glas- en Schilderwerken|Noordwijk|https://vdnat.nl
Atelier Zuidinga|Purmerend|http://atelierzuidinga.nl
Bert Witsel Rioolservice Waterland|Purmerend|https://www.rioolservicewaterland.nl
CoolAir Nederland|Purmerend|https://www.coolairnederland.nl
